,uuid,source,orig_id,h3_0,h3_1,h3_2,h3_3,h3_4,h3_5,h3_6,h3_7,h3_8,h3_9,h3_10,h3_11,h3_12,h3_13,h3_14,h3_15
28,21da6685-c215-4b47-9a7d-8fefb790fcb2,Mapillary,2935461220075965,802bfffffffffff,812bbffffffffff,822b9ffffffffff,832b9afffffffff,842b9abffffffff,852b9aa7fffffff,862b9aa6fffffff,872b9aa68ffffff,882b9aa687fffff,892b9aa6867ffff,8a2b9aa6875ffff,8b2b9aa68674fff,8c2b9aa686749ff,8d2b9aa6867483f,8e2b9aa68674837,8f2b9aa68674836
29,19c9cb57-4eb9-452a-966f-3da37a6a8a8a,Mapillary,908523803329750,801ffffffffffff,811f3ffffffffff,821f17fffffffff,831f13fffffffff,841f139ffffffff,851f139bfffffff,861f1398fffffff,871f1398dffffff,881f1398ddfffff,891f1398dcfffff,8a1f1398dce7fff,8b1f1398dce6fff,8c1f1398dce69ff,8d1f1398dce683f,8e1f1398dce6817,8f1f1398dce6814
30,175b878c-d03a-4655-b02f-759312fe58cc,Mapillary,1351283651916585,8019fffffffffff,811fbffffffffff,821fb7fffffffff,831fb6fffffffff,841fb67ffffffff,851fb667fffffff,861fb666fffffff,871fb666bffffff,881fb666bbfffff,891fb666bbbffff,8a1fb666bb8ffff,8b1fb666bb8cfff,8c1fb666bb8c5ff,8d1fb666bb8c5bf,8e1fb666bb8c587,8f1fb666bb8c582
31,112eaf30-08be-450a-82f0-ebe271c1027a,Mapillary,776765546363571,802bfffffffffff,812bbffffffffff,822b9ffffffffff,832b9afffffffff,842b9abffffffff,852b9aa7fffffff,862b9aa6fffffff,872b9aa68ffffff,882b9aa687fffff,892b9aa686fffff,8a2b9aa686d7fff,8b2b9aa686d6fff,8c2b9aa686d6bff,8d2b9aa686d6bbf,8e2b9aa686d6baf,8f2b9aa686d6bab
32,08291c85-45e9-4b7e-9c7f-8319df8cacaa,Mapillary,1032840184186814,8019fffffffffff,811fbffffffffff,821fb7fffffffff,831fb6fffffffff,841fb67ffffffff,851fb667fffffff,861fb666fffffff,871fb6669ffffff,881fb66695fffff,891fb666943ffff,8a1fb666941ffff,8b1fb666941afff,8c1fb666941a5ff,8d1fb666941a57f,8e1fb666941a56f,8f1fb666941a56e
33,05752827-e598-41ab-b2ad-4db807a6b54a,Mapillary,982334042549854,8019fffffffffff,811fbffffffffff,821fb7fffffffff,831fb6fffffffff,841fb67ffffffff,851fb667fffffff,861fb666fffffff,871fb666bffffff,881fb666b1fffff,891fb666b03ffff,8a1fb666b157fff,8b1fb666b152fff,8c1fb666b152dff,8d1fb666b152dbf,8e1fb666b152da7,8f1fb666b152da1
34,013626b6-b16f-44d4-b3cc-909b58841580,Mapillary,523933542098228,802bfffffffffff,812bbffffffffff,822b9ffffffffff,832b9afffffffff,842b9abffffffff,852b9aa7fffffff,862b9aa6fffffff,872b9aa68ffffff,882b9aa683fffff,892b9aa682bffff,8a2b9aa682a7fff,8b2b9aa682a0fff,8c2b9aa682a01ff,8d2b9aa682a007f,8e2b9aa682a0047,8f2b9aa682a0043
35,009700da-2ab7-4e51-96ed-7bc3bc8df153,Mapillary,524061098757516,8019fffffffffff,811fbffffffffff,821fb7fffffffff,831fb6fffffffff,841fb67ffffffff,851fb667fffffff,861fb666fffffff,871fb666bffffff,881fb666bbfffff,891fb666ba3ffff,8a1fb666ba37fff,8b1fb666ba33fff,8c1fb666ba333ff,8d1fb666ba333bf,8e1fb666ba33397,8f1fb666ba33393
36,eb94b1f3-8f42-450f-affc-aae9824b58fe,KartaView,1504505833,8019fffffffffff,811fbffffffffff,821fb7fffffffff,831fb6fffffffff,841fb67ffffffff,851fb667fffffff,861fb666fffffff,871fb666bffffff,881fb666bbfffff,891fb666ba3ffff,8a1fb666ba27fff,8b1fb666ba23fff,8c1fb666ba235ff,8d1fb666ba2357f,8e1fb666ba23567,8f1fb666ba23562
37,d919a705-e19d-4924-9c61-ca66378d49d7,KartaView,1504508409,8019fffffffffff,811fbffffffffff,821fb7fffffffff,831fb6fffffffff,841fb67ffffffff,851fb667fffffff,861fb666fffffff,871fb666bffffff,881fb666bbfffff,891fb666babffff,8a1fb666ba87fff,8b1fb666ba84fff,8c1fb666ba843ff,8d1fb666ba842ff,8e1fb666ba842e7,8f1fb666ba842e2
38,6a6fc3fb-a4fc-482d-96dd-b8be1c66e74d,KartaView,440181229,8019fffffffffff,811fbffffffffff,821fb7fffffffff,831fb6fffffffff,841fb67ffffffff,851fb667fffffff,861fb666fffffff,871fb666bffffff,881fb666b5fffff,891fb666bcfffff,8a1fb666bcdffff,8b1fb666bcdefff,8c1fb666bcde7ff,8d1fb666bcde73f,8e1fb666bcde717,8f1fb666bcde716
39,195a2083-f4bb-40b8-96cf-06779a7f20b9,KartaView,1504508985,8019fffffffffff,811fbffffffffff,821fb7fffffffff,831fb6fffffffff,841fb67ffffffff,851fb667fffffff,861fb666fffffff,871fb666bffffff,881fb666bbfffff,891fb666babffff,8a1fb666ba9ffff,8b1fb666ba9cfff,8c1fb666ba9c5ff,8d1fb666ba9c53f,8e1fb666ba9c517,8f1fb666ba9c511
