uuid,source,orig_id,mly_sfm_cluster.id,mly_sfm_cluster.url
6ea32c5c-98fc-4ed3-a722-0c9ef433ed2e,Mapillary,1000461748133755,993582952072112.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An-5yNtq3NpL6kAZcAkdsDX2LFLSSn-Ifz_JKskmvOCcfAkWptAE54qSbkr7HlFTxvzF4IatxEpnzAFSYauWAvsGyAp7_2nHqKrdHQgJt1WwygREiSZrvGShj6Bw0diK3I8SuSclxJ_Y8w?ccb=10-5&oh=00_AYA2c-vDB7d0dWC2t764vUbsXTH0JeB2O5Ci2uYyMYGpFg&oe=66BDF127&_nc_sid=fbd883
c4757cbf-e276-43a7-919a-d7b40ac1dc64,Mapillary,1631718204270832,1554489278745575.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An9h0ZsZSl7Y2j0ZliUhXenlCHhFUe47nFlAUtQoLgbdsUP0u8S_rx_skSUFFxvXWhCmezlm6VRNwhECaJFT0mmOpDK4tGNGGrV1YSfXtUaxbYA9fNw16ypJ-UtQzRGs1jKMaLR7R5913Q?ccb=10-5&oh=00_AYDucHyXb0coCmMIKs3SK2Y_aV40k9RHc20wmxsshwyIjA&oe=66BDC1F6&_nc_sid=fbd883
3b584f6d-e022-48dc-bd0d-3f178819c97b,Mapillary,278053825371209,6378155729136239.0,
30d60b75-b434-41ed-9dd9-fe558edf260a,Mapillary,994959838670125,988066229627404.0,
de4a9319-e7e9-4e47-877f-43f6bca56413,Mapillary,778164934304539,486601897187529.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An9BDsv9vbgNB9Bx6pyGG192hQmm9M-wv-rxVW5NTNpbUyohZeXH8jbrhw706EZ9CrSy6vzqft1UEtVMFELQXl1zLr3Esw2jQIgf7YOOb1b8j4aepXaBJiEAgaWjlCPrC-tlTcRPoj7Msg?ccb=10-5&oh=00_AYBOR-P-MgDY9kkmgf-k7Zl7jqb1eyAPyCyQ1yfvqhu0DQ&oe=66BDE622&_nc_sid=fbd883
377b63f9-da84-4c02-9895-115c7f297f78,Mapillary,1622357688598487,469224655826973.0,
010416c1-eef3-4946-bd63-d8b4e8ac40d7,Mapillary,339249452563500,809158371322783.0,
f608aa41-660d-46a2-919d-706a1369fa3e,Mapillary,971442118054871,809158371322783.0,
fd77ddbf-b4e0-44b7-9dae-18de9bca19b1,Mapillary,1699524747250397,680444067598418.0,
3a8eb849-c181-44d0-ad5b-a42a3ba4bf97,Mapillary,1030354025472517,6378155729136239.0,
43659e17-6522-4e20-9178-f62a19373fec,Mapillary,838522008252720,1569749970423260.0,
5c6e024f-ee2d-4fdc-a56d-942d76a63ac1,Mapillary,846144504230167,1554489278745575.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An9h0ZsZSl7Y2j0ZliUhXenlCHhFUe47nFlAUtQoLgbdsUP0u8S_rx_skSUFFxvXWhCmezlm6VRNwhECaJFT0mmOpDK4tGNGGrV1YSfXtUaxbYA9fNw16ypJ-UtQzRGs1jKMaLR7R5913Q?ccb=10-5&oh=00_AYDucHyXb0coCmMIKs3SK2Y_aV40k9RHc20wmxsshwyIjA&oe=66BDC1F6&_nc_sid=fbd883
9022f2e7-514c-491f-a4cd-0a92cd57501a,Mapillary,8479070232121893,988066229627404.0,
b00682d1-3a12-43fa-8d2c-97c7c7f00e2f,Mapillary,512630514522394,986187579755990.0,
abbdf183-e908-4762-8ea3-9a70c2f4e12c,Mapillary,8215113845213810,6378155729136239.0,
5e79f7b1-a546-4e5c-861f-9bbb9213040e,Mapillary,1948236932280894,988066229627404.0,
f1373c69-80a8-4b5c-aed0-aafcc2ed9dbd,Mapillary,474763888624037,986187579755990.0,
f2ae2eb0-0a27-41b3-8bb9-bae967ed67d8,Mapillary,1175367930255197,6378155729136239.0,
7ac358c9-b811-49e4-a3e7-4c226bfe7e68,Mapillary,1811611882657938,988066229627404.0,
0923e370-19cf-4650-b698-f32192f29e6f,Mapillary,459877023568340,809158371322783.0,
eb73758c-f0b3-4d42-9d11-a7fd258c1826,Mapillary,7618591368251620,680444067598418.0,
ff8ed2d1-6c40-47f5-b00e-c87e265042a5,Mapillary,1006301931197906,1160628541656852.0,
f8495a0c-9329-40c6-8f45-2a126dd82444,Mapillary,1656323121855627,2197868900577594.0,
28032a64-7573-4b5a-915a-b5b4efd14fdf,Mapillary,3584299245145240,986187579755990.0,
af180461-74ba-447d-aa98-365839851420,Mapillary,338739542610017,1554489278745575.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An9h0ZsZSl7Y2j0ZliUhXenlCHhFUe47nFlAUtQoLgbdsUP0u8S_rx_skSUFFxvXWhCmezlm6VRNwhECaJFT0mmOpDK4tGNGGrV1YSfXtUaxbYA9fNw16ypJ-UtQzRGs1jKMaLR7R5913Q?ccb=10-5&oh=00_AYDucHyXb0coCmMIKs3SK2Y_aV40k9RHc20wmxsshwyIjA&oe=66BDC1F6&_nc_sid=fbd883
87788ed8-c85e-4448-98d4-4fee71b1f6bf,Mapillary,335584389615342,1018738539272846.0,
2ffbb098-f151-4e41-841e-8e6b0e96678f,Mapillary,1829545547536864,1022634162604193.0,
e15454c9-d967-41ab-9bc6-11e57a03991d,Mapillary,1182177679589941,469224655826973.0,
a8dd015c-8a37-46e5-af16-d22d93a2b336,Mapillary,1031777668553792,988066229627404.0,
ae62555a-4b80-40c7-adbf-90265464a977,Mapillary,787771193560298,6378155729136239.0,
30e62607-31a8-4c1d-a513-ec35d9ec7c91,Mapillary,1178582123451865,1266816281390461.0,
8b452f58-740a-44fc-8d9c-47ec7dac0108,Mapillary,400896672292423,1022634162604193.0,
ddb47f3f-b6ab-41ba-a44e-2597f7b61f64,Mapillary,1161284998256813,469224655826973.0,
651fce4f-bc3e-49a2-8cfe-231c8b34bc1e,Mapillary,334663733029461,809158371322783.0,
00f9061f-01c8-46a2-8e27-f5081d863f9a,Mapillary,403271952743769,1266816281390461.0,
131675f3-653a-4444-8645-d1ed1c3eff46,Mapillary,493338249754295,680444067598418.0,
bc9f1528-1dce-4d88-bd19-7aa1d8c79b03,Mapillary,1043740007122974,1611386306260864.0,
4614544e-e442-4cc4-b54e-b17e12d9d522,Mapillary,1001456204945916,1569749970423260.0,
