,pt_idx,line_i,index,u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,from,to,ref,access,bridge,tunnel,service,junction,road_width,est_width,geometry_wkt,uuid,source,orig_id,city,city_ascii,city_id,city_lat,city_lon,country,iso2,iso3,admin_name,capital,population,continent,lat,lon,snap_dist,l_geom_wkt,og_pt_wkt,snp_pt_wkt
10,1735,2711,2711,1110030644,1110034412,0,528905429,,,footway,,False,40.105000000000004,1110034412,1110030644,,,,,,,2,,"LINESTRING (368070.2600481884 145084.1069098834, 368067.5830551649 145093.8369720544, 368068.4018884811 145107.6780030024, 368068.1312627129 145123.59797449462)",d4dd01b6-d9d9-44ba-bf13-cbb673ed67e9,Mapillary,1150438086228207,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3126494434067697,103.81414890289308,1.1725790960163067,"LINESTRING (368070.2600481884 145084.1069098834, 368067.5830551649 145093.8369720544, 368068.4018884811 145107.6780030024, 368068.1312627129 145123.59797449462)",POINT (368069.3866303014 145118.7377814859),POINT (368068.21422058914 145118.71785153318)
11,1736,2726,2726,1110031600,1110034484,0,47248795,,,footway,,False,18.535,1110034484,1110031600,,,,,,,2,,"LINESTRING (368092.10955241136 145099.31990112274, 368093.4520299176 145091.1161240014, 368093.32483809855 145081.0004514665)",681e50f0-a583-4334-b5c1-e13b85541762,Mapillary,2719673378215208,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3123437518022172,103.8143903017044,2.856569337258039,"LINESTRING (368092.10955241136 145099.31990112274, 368093.4520299176 145091.1161240014, 368093.32483809855 145081.0004514665)",POINT (368096.2310358656 145084.92948413492),POINT (368093.3746923118 145084.96539905123)
12,1737,2700,2700,1110029828,1110034484,0,47248795,,,footway,,False,70.349,1110034484,1110029828,,,,,,,2,,"LINESTRING (368092.10955241136 145099.31990112274, 368095.7199230967 145110.34046894632, 368100.3086252294 145119.58064601888, 368104.7312033797 145130.46816301104, 368104.90566161636 145146.3989770287, 368108.3718117394 145158.32615893608, 368112.0582002923 145165.39989578727)",178cf2fa-e552-4c8a-badc-cbf84ec64df9,Mapillary,1500752704202206,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.312504642125063,103.81443321704865,7.405785647215974,"LINESTRING (368092.10955241136 145099.31990112274, 368095.7199230967 145110.34046894632, 368100.3086252294 145119.58064601888, 368104.7312033797 145130.46816301104, 368104.90566161636 145146.3989770287, 368108.3718117394 145158.32615893608, 368112.0582002923 145165.39989578727)",POINT (368101.01465421886 145102.71435864895),POINT (368093.9769041504 145105.01994643215)
13,1738,2751,2751,1110034485,5138702697,0,"[1120923693, 528905423]",,,footway,,False,39.714000000000006,5138702697,1110034485,,,,,,,2,,"LINESTRING (368091.8283228633 145045.92223144387, 368097.4081859824 145033.49326655082, 368097.72848546685 145028.4628870814, 368095.93418978056 145022.44957483604, 368092.5724072128 145019.43303095328, 368087.8103411902 145020.043336732, 368082.70376779593 145021.56035242387)",6bfbfd41-a4cf-40fc-9857-859a3b421fda,Mapillary,1875896832892390,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3118986218550646,103.81441175937653,1.9938533863606853,"LINESTRING (368091.8283228633 145045.92223144387, 368097.4081859824 145033.49326655082, 368097.72848546685 145028.4628870814, 368095.93418978056 145022.44957483604, 368092.5724072128 145019.43303095328, 368087.8103411902 145020.043336732, 368082.70376779593 145021.56035242387)",POINT (368098.5953082854 145035.71726478968),POINT (368096.77634987625 145034.9006610717)
14,1739,2700,2700,1110029828,1110034484,0,47248795,,,footway,,False,70.349,1110034484,1110029828,,,,,,,2,,"LINESTRING (368092.10955241136 145099.31990112274, 368095.7199230967 145110.34046894632, 368100.3086252294 145119.58064601888, 368104.7312033797 145130.46816301104, 368104.90566161636 145146.3989770287, 368108.3718117394 145158.32615893608, 368112.0582002923 145165.39989578727)",77e51e63-2787-4dc3-9c4b-a079b7c44998,Mapillary,893655559159027,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3127459775899268,103.81448149681091,1.950351734208351,"LINESTRING (368092.10955241136 145099.31990112274, 368095.7199230967 145110.34046894632, 368100.3086252294 145119.58064601888, 368104.7312033797 145130.46816301104, 368104.90566161636 145146.3989770287, 368108.3718117394 145158.32615893608, 368112.0582002923 145165.39989578727)",POINT (368106.39938753226 145129.39251639065),POINT (368104.5924243123 145130.12651626047)
15,1740,2163,2163,602165511,5040188445,0,47257453,,Red Brick Path,footway,,False,48.225,5040188445,602165511,,,,,,,,,"LINESTRING (368275.0608146922 145665.00639923743, 368268.38805741013 145672.20666184017, 368259.8506794707 145689.31348565916, 368260.2992003885 145696.55458576247, 368260.6497495449 145708.36162922092)",cc1ed994-1360-49d0-ab8b-5768f2a2d7c5,Mapillary,815816373814219,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3178140169645758,103.81586015224455,0.1983891345625588,"LINESTRING (368275.0608146922 145665.00639923743, 368268.38805741013 145672.20666184017, 368259.8506794707 145689.31348565916, 368260.2992003885 145696.55458576247, 368260.6497495449 145708.36162922092)",POINT (368260.0680477827 145689.61375472133),POINT (368259.870038135 145689.62601963518)
16,1741,12666,12666,5146317039,5146317045,0,529822846,,,footway,,False,41.049,5146317045,5146317039,,,,,,,,,"LINESTRING (368469.8028633231 145496.4733481623, 368453.3076200738 145509.22808154608, 368449.86032672855 145513.5855565753, 368447.79315429815 145518.73836857057, 368447.53935189534 145523.2048839572, 368445.87228381133 145527.37357278718)",08b4951f-561b-449a-b5cf-a1dfdb731828,Mapillary,1195620884947386,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.316113945644588,103.81765186786652,2.367691067216763,"LINESTRING (368469.8028633231 145496.4733481623, 368453.3076200738 145509.22808154608, 368449.86032672855 145513.5855565753, 368447.79315429815 145518.73836857057, 368447.53935189534 145523.2048839572, 368445.87228381133 145527.37357278718)",POINT (368459.34235579526 145501.5688518437),POINT (368460.7906723757 145503.44190818898)
17,1742,2707,2707,1110030610,1110030937,0,1120726106,,,footway,,False,47.151999999999994,1110030937,1110030610,,,,,,,2,,"LINESTRING (368031.26378572336 145115.71081483492, 368027.6926237245 145116.983885279, 368021.4398508975 145118.24717240754, 368013.2386110039 145116.89124275107, 368009.82373032405 145119.22556245455, 368011.78382788657 145122.90609697916, 368022.6210166948 145121.8396327989, 368025.29289024085 145124.77911456232, 368021.35573858797 145128.5840565089)",8d8f869a-33cc-4f1e-be4f-ec935dd13e0c,Mapillary,833645944899611,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3126065393241788,103.81374657154085,3.5184070805912753,"LINESTRING (368031.26378572336 145115.71081483492, 368027.6926237245 145116.983885279, 368021.4398508975 145118.24717240754, 368013.2386110039 145116.89124275107, 368009.82373032405 145119.22556245455, 368011.78382788657 145122.90609697916, 368022.6210166948 145121.8396327989, 368025.29289024085 145124.77911456232, 368021.35573858797 145128.5840565089)",POINT (368024.61699811637 145114.01577608535),POINT (368025.3137657524 145117.46450095784)
18,1743,2727,2727,1110031600,7386404874,0,47248795,,,footway,,False,61.565000000000005,7386404874,1110031600,,,,,,,2,,"LINESTRING (368118.2006524552 145025.28027546822, 368117.85664261354 145027.237252157, 368114.9568808853 145036.4920332284, 368110.98953583173 145047.02975196516, 368105.7765967779 145058.89471471103, 368098.2723729516 145072.60702328544, 368093.32483809855 145081.0004514665)",288517f4-8c2b-47c1-b035-fea271c79aea,Mapillary,964606362106592,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3120219711254464,103.8145351409912,2.1599646367336383,"LINESTRING (368118.2006524552 145025.28027546822, 368117.85664261354 145027.237252157, 368114.9568808853 145036.4920332284, 368110.98953583173 145047.02975196516, 368105.7765967779 145058.89471471103, 368098.2723729516 145072.60702328544, 368093.32483809855 145081.0004514665)",POINT (368112.3304346774 145049.34756787104),POINT (368110.35291718633 145048.47873428263)
19,1744,4743,4743,1625964814,4816030296,0,47257453,,Red Brick Path,footway,,False,57.33,4816030296,1625964814,,,,,,,,,"LINESTRING (368376.0557903213 145538.37367928406, 368377.08998355316 145560.52828204338, 368370.8913008808 145581.9456032975, 368367.91187752166 145587.43051378103, 368362.4834677338 145590.69444418632)",93af3fad-ed09-4272-af2d-982697a29df3,Mapillary,1645653532878544,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.316725327893181,103.81692230701448,3.473230257753632,"LINESTRING (368376.0557903213 145538.37367928406, 368377.08998355316 145560.52828204338, 368370.8913008808 145581.9456032975, 368367.91187752166 145587.43051378103, 368362.4834677338 145590.69444418632)",POINT (368378.19644797826 145569.19830239075),POINT (368374.8601426692 145568.2326962039)
20,1745,4735,4735,1625964712,4816030296,0,"[152773936, 47257453]",,Red Brick Path,footway,,False,73.59899999999999,4816030296,1625964712,,,,,,,,,"LINESTRING (368376.0557903213 145538.37367928406, 368362.9656799978 145528.2641661181, 368345.06445950957 145509.17992076481, 368337.6921068472 145519.3544211608, 368332.84410192666 145526.42114628904, 368332.15874232963 145535.9291477601)",775d6b4e-cc30-4e8c-885d-2fcbd1fc8e6d,Mapillary,3752003515127738,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3164357257941075,103.81690084934236,0.7824047502728799,"LINESTRING (368376.0557903213 145538.37367928406, 368362.9656799978 145528.2641661181, 368345.06445950957 145509.17992076481, 368337.6921068472 145519.3544211608, 368332.84410192666 145526.42114628904, 368332.15874232963 145535.9291477601)",POINT (368375.793668331 145537.18266822668),POINT (368375.31543396047 145537.80190088094)
21,1746,12666,12666,5146317039,5146317045,0,529822846,,,footway,,False,41.049,5146317045,5146317039,,,,,,,,,"LINESTRING (368469.8028633231 145496.4733481623, 368453.3076200738 145509.22808154608, 368449.86032672855 145513.5855565753, 368447.79315429815 145518.73836857057, 368447.53935189534 145523.2048839572, 368445.87228381133 145527.37357278718)",21a94199-4269-4307-b551-8ba22bfe7659,Mapillary,496610362702592,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3162319317042377,103.81754457950592,1.8890394058692497,"LINESTRING (368469.8028633231 145496.4733481623, 368453.3076200738 145509.22808154608, 368449.86032672855 145513.5855565753, 368447.79315429815 145518.73836857057, 368447.53935189534 145523.2048839572, 368445.87228381133 145527.37357278718)",POINT (368447.41060367855 145514.6183783779),POINT (368449.16382229433 145515.32172350097)
22,1747,2704,2704,1110030527,1110030948,0,528905431,,,footway,,False,19.798,1110030948,1110030527,,,,,,,2,,"LINESTRING (368082.7116622346 145108.6440974412, 368084.88528880675 145116.79093062846, 368087.1240261985 145121.45526736986, 368090.0307132937 145126.8157804449)",f22e1baf-2713-4c1a-b6da-8ac8efe965ee,Mapillary,775404241420829,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.312622628355243,103.81433129310608,4.766905906080938,"LINESTRING (368082.7116622346 145108.6440974412, 368084.88528880675 145116.79093062846, 368087.1240261985 145121.45526736986, 368090.0307132937 145126.8157804449)",POINT (368089.67976921675 145115.7636357711),POINT (368085.3822417842 145117.82631603815)
23,1748,12666,12666,5146317039,5146317045,0,529822846,,,footway,,False,41.049,5146317045,5146317039,,,,,,,,,"LINESTRING (368469.8028633231 145496.4733481623, 368453.3076200738 145509.22808154608, 368449.86032672855 145513.5855565753, 368447.79315429815 145518.73836857057, 368447.53935189534 145523.2048839572, 368445.87228381133 145527.37357278718)",b531fea3-c7ba-4538-9638-f52cce24a7db,Mapillary,475269161686118,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3162158426964226,103.81754457950592,2.5520880070133733,"LINESTRING (368469.8028633231 145496.4733481623, 368453.3076200738 145509.22808154608, 368449.86032672855 145513.5855565753, 368447.79315429815 145518.73836857057, 368447.53935189534 145523.2048839572, 368445.87228381133 145527.37357278718)",POINT (368447.4097603458 145512.83966925222),POINT (368449.7783547696 145513.78988693844)
