uuid,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle
e9a5ff7f-5f30-42ac-8371-299ec99bf40d,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0
973c2c32-55bb-4c51-af39-23493679d26f,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,9,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,5,0,2,0,0,5,0,2,0,0,12,0,1,0,0,0,2,0,0,0
4099bc32-1539-417f-abb7-f0e11fb4f543,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,6,1,0,0,0,0,3,0,0,0,5,0,0,5,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0
b46907dc-5c7a-4851-958f-96f71da9d6e8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,16,0,1,0,0,0,0,0,0,0
cbe01574-c449-41cd-adbf-7f0baafdc13e,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,4,0,0,1,3,5,0,2,0,0,11,0,1,0,0,0,0,0,0,0
da99fd9c-8a91-4259-8018-ca6a5998026d,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,1
14eaed40-1030-48cf-b8e4-9141bccd2013,0,0,1,1,0,0,0,1,2,1,0,0,0,1,0,1,0,1,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5,0,0,0,2,0,0,0,0,0,3,0,0,5,0,4,0,1,0,3,3,0,1,2,0,0,0,0,0,0
4dc15fca-906b-407a-a377-5331b0230b59,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,6,0,1,0,0,0,0,0,0,0
58ba4f53-acb2-413c-9ca3-afe856278ab1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,0,2,0,0,4,0,0,0,1,11,0,1,0,0,0,0,0,0,0
d11815fb-a336-49ce-a509-06f16c758708,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,4,1,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,12,0,0,0,0,0,0,0,0,0
